TEfam	replicate	trunc_start	trunc_end	average_hq_cov	average_hq_cov_outside_truncs	coverage_ratio
PPI251	R1	137	1282	16.8568015561373	25.548268002653	34.0197873515856
PPI251	R2	1780	2715	5.99561790986791	7.21508774409567	16.9016632573276
PPI251	R2	85	2458	4.17119644635062	7.21508774409567	42.1878625140209
PPI251	R2	769	2709	3.39508116715845	7.21508774409567	52.9447002229911
PPI251	R2	314	2458	3.35821775799958	7.21508774409567	53.4556213713727
PPI251	R2	185	1543	3.28965850558566	7.21508774409567	54.4058420041019
PPI251	R2	983	2458	3.01322450110865	7.21508774409567	58.2371745433801
PPI251	R2	618	2458	2.84725919707669	7.21508774409567	60.5374279833716
PPI251	R2	769	2495	2.8020150023688	7.21508774409567	61.1645055230026
PPI251	R2	769	2458	2.71054195804196	7.21508774409567	62.4323077670112
PPI251	R2	314	1778	2.49317908780639	7.21508774409567	65.4449235236725
PPI251	R2	618	1778	1.45644655860935	7.21508774409567	79.8138760016993
PPI251	R2	983	1778	1.12644426678849	7.21508774409567	84.3876567168529
PPI251	R2	769	1778	1.01974869486949	7.21508774409567	85.8664408384503
PPI251	R2	769	1543	0.556743225806452	7.21508774409567	92.283625015343
PPI251	R2	983	1543	0.531514179225409	7.21508774409567	92.6332956981658
PPI251	R3	221	2058	17.795563260461	20.460887109142	13.0264334799549
